"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Andujar, Miguel","609280","2022","31","27","5",".235",".311",".280","4","1","0","8",".253",
"Vosler, Jason","613564","2022","26","29","10",".265",".469",".333","1","3","2","3",".244",
"Cordero, Franchy","614173","2022","53","92","28",".219",".397",".313","4","1","1","14",".228",
"Reyes, Franmil","614177","2022","97","157","30",".221",".365",".307","2","12","2","36",".203",
"Torrens, Luis","620443","2022","34","50","12",".225",".298",".310","0","5","1","9",".236",
"Swanson, Dansby","621020","2022","177","182","49",".277",".447",".348","18","12","3","54",".257",
"Newman, Kevin","621028","2022","79","48","16",".274",".372",".322","8","6","2","23",".260",
"Taylor, Chris","621035","2022","89","160","44",".221",".373",".336","10","4","5","23",".195",
"Correa, Carlos","621043","2022","152","121","61",".291",".467",".339","0","18","3","45",".276",
"Phillips, Brett","621433","2022","29","94","16",".144",".249",".233","7","0","3","4",".156",
"Taylor, Tyrone","621438","2022","87","102","22",".233",".442",".272","3","11","7","16",".236",
"Buxton, Byron","621439","2022","76","116","34",".224",".526",".244","6","0","7","13",".242",
"Bolt, Skye","621450","2022","21","30","7",".198",".330",".233","5","1","2","7",".194",
"Ward, Taylor","621493","2022","139","120","60",".281",".473",".325","5","5","4","41",".268",
"Nido, Tomas","621512","2022","68","76","14",".239",".324",".314","0","14","1","24",".242",
"Wisdom, Patrick","621550","2022","97","183","53",".207",".426",".274","8","8","9","25",".188",
"Wendle, Joey","621563","2022","90","50","15",".259",".360",".293","12","7","5","35",".250",
"Olson, Matt","621566","2022","148","170","75",".240",".477",".274","0","13","4","38",".248",
"Duffy, Matt","622110","2022","57","50","17",".250",".311",".313","0","6","2","21",".234",
"Margot, Manuel","622534","2022","92","68","24",".274",".375",".332","7","7","2","38",".264",
"Camargo, Johan","622666","2022","36","37","13",".237",".316",".295","0","1","0","14",".225",
"Reyes, Victor","622682","2022","80","77","13",".254",".362",".322","2","7","4","28",".261",
"Mateo, Jorge","622761","2022","109","147","27",".221",".379",".286","35","8","5","32",".222",
"Heineman, Tyler","623168","2022","34","17","8",".217",".268",".243","1","3","5","12",".248",
