"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Cron, C.J.","543068","2023","64","65","17",".248",".434",".284","0","13","1","17",".257",
"Gomes, Yan","543228","2023","102","81","21",".267",".408",".309","1","9","9","29",".257",
"Grossman, Robbie","543257","2023","84","98","57",".238",".394",".292","1","8","2","21",".222",
"Harrison, Josh","543281","2023","21","20","3",".204",".291",".229","0","2","6","6",".229",
"Hicks, Aaron","543305","2023","68","69","42",".253",".383",".311","6","3","0","29",".208",
"Higashioka, Kyle","543309","2023","57","74","14",".236",".413",".292","0","5","0","17",".237",
"Hosmer, Eric","543333","2023","22","25","6",".234",".330",".299","0","5","0","9",".203",
"McCann, James","543510","2023","46","57","9",".222",".377",".274","3","5","5","14",".259",
"Nola, Austin","543592","2023","19","31","18",".146",".192",".184","0","5","2","8",".195",
"Rendon, Anthony","543685","2023","35","27","25",".236",".318",".268","2","6","6","7",".263",
"Semien, Marcus","543760","2023","185","110","72",".276",".478",".291","14","5","5","49",".263",
"Springer III, George","543807","2023","158","125","60",".258",".405",".291","20","20","5","58",".262",
"Vazquez, Christian","543877","2023","73","82","25",".223",".318",".279","1","11","1","23",".221",
"Wong, Kolten","543939","2023","41","53","18",".183",".263",".218","3","1","5","14",".214",
"Vargas, Ildemaro","545121","2023","66","20","19",".252",".363",".259","1","10","1","27",".261",
"Grichuk, Randal","545341","2023","116","96","29",".267",".459",".309","2","11","6","33",".260",
"Trout, Mike","545361","2023","81","104","45",".263",".490",".335","2","4","7","21",".272",
"Harper, Bryce","547180","2023","134","119","80",".293",".499",".352","11","10","5","40",".287",
"Abreu, Jose","547989","2023","128","130","42",".237",".383",".276","0","16","6","48",".243",
"Diaz, Elias","553869","2023","130","118","34",".267",".409",".324","1","12","2","52",".243",
"Narvaez, Omar","553882","2023","27","27","14",".211",".297",".245","0","1","0","6",".252",
"Suarez, Eugenio","553993","2023","139","214","70",".232",".391",".314","2","10","15","33",".223",
"Urshela, Gio","570482","2023","64","36","10",".299",".374",".346","3","9","1","31",".255",
"Schoop, Jonathan","570731","2023","29","37","13",".213",".272",".287","0","6","0","12",".230",
"Arenado, Nolan","571448","2023","149","101","41",".266",".459",".279","3","21","3","41",".264",
"Barnhart, Tucker","571466","2023","22","42","12",".202",".257",".313","1","4","1","8",".176",
"Farmer, Kyle","571657","2023","86","86","23",".256",".408",".311","2","7","8","25",".249",
"Haniger, Mitch","571745","2023","44","65","15",".209",".365",".270","1","7","2","9",".244",
"Hernandez, Enrique","571771","2023","110","97","34",".237",".357",".273","4","17","3","35",".222",
"Maile, Luke","571912","2023","42","49","14",".235",".391",".290","2","8","5","10",".237",
"Muncy, Max","571970","2023","102","153","85",".212",".475",".221","1","8","6","18",".234",
"Myers, Wil","571976","2023","24","48","12",".189",".283",".273","2","3","0","7",".188",
"Pollock, AJ","572041","2023","22","32","9",".165",".308",".173","0","1","0","10",".200",
"Singleton, Jon","572138","2023","15","23","13",".165",".264",".194","0","2","0","4",".216",
"Taylor, Michael A.","572191","2023","78","130","26",".220",".442",".278","13","7","3","29",".222",
"Thompson, Trayce","572204","2023","25","77","24",".163",".294",".271","2","1","2","9",".163",
"Walker, Christian","572233","2023","150","127","62",".258",".497",".272","11","13","8","43",".250",
"Zunino, Mike","572287","2023","22","61","15",".177",".306",".317","0","3","1","10",".158",
"Carpenter, Matt","572761","2023","33","67","41",".176",".319",".231","1","2","2","6",".171",
"Dickerson, Corey","572816","2023","36","28","7",".250",".354",".296","0","3","0","12",".253",
"Yastrzemski, Mike","573262","2023","77","99","45",".233",".445",".286","2","5","3","16",".231",
"Contreras, Willson","575929","2023","113","111","51",".264",".467",".311","6","12","13","37",".279",
"Bryant, Kris","592178","2023","70","68","29",".233",".367",".270","0","6","6","14",".245",
"Canha, Mark","592192","2023","114","79","49",".262",".400",".293","11","11","17","43",".246",
"Castellanos, Nick","592206","2023","170","185","36",".272",".476",".337","11","17","3","51",".259",
"Drury, Brandon","592273","2023","127","136","25",".262",".497",".308","0","14","8","41",".253",
"Judge, Aaron","592450","2023","98","130","88",".267",".613",".300","3","5","0","19",".291",
"Machado, Manny","592518","2023","140","109","50",".258",".462",".268","3","20","2","49",".251",
"Pederson, Joc","592626","2023","84","89","57",".235",".416",".268","0","12","7","26",".263",
"Realmuto, J.T.","592663","2023","123","138","35",".252",".452",".307","16","10","9","34",".254",
"Renfroe, Hunter","592669","2023","116","125","44",".233",".416",".270","0","15","3","39",".224",
"Rosario, Eddie","592696","2023","122","122","34",".255",".450",".300","3","13","1","31",".254",
"Yelich, Christian","592885","2023","153","140","78",".278",".447",".342","28","15","3","63",".277",
"Merrifield, Whit","593160","2023","149","101","36",".272",".382",".313","26","15","3","51",".241",
"Bogaerts, Xander","593428","2023","170","110","56",".285",".440",".319","19","21","7","74",".252",
"Polanco, Jorge","593871","2023","77","88","36",".255",".454",".310","4","2","2","18",".252",
"Calhoun, Kole","594777","2023","34","37","13",".217",".376",".241","0","3","2","5",".234",
"Duvall, Adam","594807","2023","79","110","22",".247",".531",".299","4","0","6","17",".210",
"Kiermaier, Kevin","595281","2023","98","86","29",".265",".419",".321","14","9","4","37",".258",
"Wallach, Chad","595453","2023","31","57","13",".197",".376",".258","0","5","0","7",".207",
"Profar, Jurickson","595777","2023","111","90","50",".242",".368",".279","1","11","6","31",".245",
"Baez, Javier","595879","2023","113","125","24",".222",".325",".274","12","12","9","40",".238",
"Cave, Jake","595909","2023","39","55","15",".212",".348",".270","3","3","1","12",".204",
"Gallagher, Cam","595956","2023","18","46","4",".126",".168",".184","0","3","1","10",".152",
"Hedges, Austin","595978","2023","34","47","11",".184",".227",".236","1","7","2","16",".208",
"Lindor, Francisco","596019","2023","153","137","66",".254",".470",".277","31","8","12","38",".253",
"Odor, Rougned","596059","2023","28","37","17",".203",".355",".247","2","2","2","6",".239",
"Slater, Austin","596103","2023","50","58","20",".270",".400",".369","2","2","2","20",".253",
"Story, Trevor","596115","2023","32","55","9",".203",".316",".290","10","2","1","9",".208",
"Stubbs, Garrett","596117","2023","23","29","9",".204",".283",".265","2","0","2","11",".165",
"Vogelbach, Daniel","596129","2023","64","81","42",".233",".404",".282","0","6","2","18",".225",
"Sanchez, Gary","596142","2023","52","67","21",".217",".492",".212","0","3","4","18",".230",
"Kepler, Max","596146","2023","114","106","45",".260",".484",".288","1","9","4","33",".269",
"Choi, Ji Man","596847","2023","17","35","10",".163",".385",".169","0","2","1","1",".235",
"Bradley Jr., Jackie","598265","2023","14","29","5",".133",".210",".173","0","3","2","4",".183",
"Candelario, Jeimer","600869","2023","127","127","53",".251",".471",".292","8","11","13","29",".233",
"Urias, Ramon","602104","2023","95","101","27",".264",".375",".355","3","10","8","35",".223",
"Ahmed, Nick","605113","2023","42","52","12",".212",".303",".278","5","0","0","17",".225",
"Anderson, Brian","605119","2023","72","108","36",".226",".368",".309","1","10","4","22",".228",
"Barnes, Austin","605131","2023","32","43","17",".180",".242",".222","2","7","2","11",".211",
"Bell, Josh","605137","2023","135","134","63",".247",".419",".287","0","13","2","42",".263",
"Betts, Mookie","605141","2023","179","107","96",".307",".579",".316","14","5","8","36",".295",
"Caratini, Victor","605170","2023","52","45","19",".259",".383",".296","1","8","3","18",".252",
"Davis, J.D.","605204","2023","119","152","52",".248",".412",".320","1","16","6","46",".241",
"Castro, Harold","605612","2023","65","66","9",".252",".314",".332","1","5","0","21",".240",
"Arcia, Orlando","606115","2023","129","102","39",".264",".420",".301","1","14","3","52",".246",
"Tapia, Raimel","606132","2023","35","40","17",".236",".338",".302","10","2","1","15",".228",
"Hernandez, Teoscar","606192","2023","161","211","38",".258",".435",".342","7","6","8","56",".257",
"Marte, Ketel","606466","2023","157","109","71",".276",".485",".300","8","16","5","58",".266",
"Haase, Eric","606992","2023","55","81","17",".201",".281",".268","4","11","0","16",".218",
"Nimmo, Brandon","607043","2023","162","146","74",".274",".466",".324","3","6","11","58",".264",
"Peterson, Jace","607054","2023","79","101","47",".211",".307",".270","15","7","4","25",".213",
"Turner, Trea","607208","2023","170","150","45",".266",".459",".310","30","12","6","54",".266",
"Pillar, Kevin","607680","2023","45","50","6",".228",".416",".255","4","2","0","9",".255",
"Stallings, Jacob","607732","2023","46","67","27",".191",".286",".249","0","9","3","14",".189",
"Ramirez, Jose","608070","2023","172","73","73",".282",".475",".285","28","8","1","52",".297",
"Bregman, Alex","608324","2023","163","87","92",".262",".441",".270","3","22","8","45",".262",
"Gallo, Joey","608336","2023","50","142","48",".177",".440",".244","1","3","2","9",".154",
"Kelly, Carson","608348","2023","28","40","14",".206",".287",".274","1","2","0","9",".182",
"Seager, Corey","608369","2023","156","88","49",".327",".623",".340","2","9","4","46",".312",
"Winker, Jesse","608385","2023","33","51","26",".199",".247",".278","0","0","4","9",".201",
"Murphy, Tom","608596","2023","42","44","10",".290",".538",".358","0","4","1","16",".258",
"Jankowski, Travis","608671","2023","65","42","35",".263",".332",".311","19","6","2","32",".254",
"Refsnyder, Rob","608701","2023","50","47","33",".248",".317",".316","7","8","5","20",".258",
"Meneses, Joey","608841","2023","168","130","38",".275",".401",".329","0","15","5","70",".241",
"Swanson, Dansby","621020","2023","138","154","66",".244",".416",".297","9","9","5","45",".254",
"Newman, Kevin","621028","2023","57","34","17",".253",".364",".280","8","7","4","19",".271",
"Taylor, Chris","621035","2023","80","125","41",".237",".420",".327","16","2","4","15",".223",
"Correa, Carlos","621043","2023","118","131","59",".230",".399",".272","0","30","4","40",".250",
"Taylor, Tyrone","621438","2023","54","55","8",".234",".446",".263","9","10","3","5",".248",
"Buxton, Byron","621439","2023","63","109","35",".207",".438",".253","9","3","4","14",".214",
"Stewart, DJ","621466","2023","39","56","15",".244",".506",".298","1","3","7","10",".230",
"Ward, Taylor","621493","2023","90","80","39",".253",".421",".284","4","9","8","26",".252",
"Remillard, Zach","621545","2023","37","48","8",".252",".320",".367","4","3","1","21",".199",
"Wisdom, Patrick","621550","2023","55","111","30",".205",".500",".237","4","4","2","11",".217",
"Wendle, Joey","621563","2023","63","67","13",".212",".306",".264","7","8","2","28",".231",
"Olson, Matt","621566","2023","172","167","104",".283",".604",".302","1","13","4","47",".263",
"Duffy, Matt","622110","2023","48","39","12",".251",".325",".303","1","4","4","19",".266",
"Margot, Manuel","622534","2023","82","55","18",".264",".376",".306","9","6","4","36",".263",
"Reyes, Pablo","622569","2023","48","21","14",".287",".377",".315","7","3","0","20",".269",
"Mateo, Jorge","622761","2023","69","82","22",".217",".340",".267","32","8","1","28",".240",
"Ramirez, Harold","623912","2023","125","79","22",".313",".460",".359","5","7","6","63",".270",
"Santander, Anthony","623993","2023","152","152","55",".257",".472",".299","5","11","6","53",".235",
"Alonso, Pete","624413","2023","123","151","65",".217",".504",".205","4","17","21","24",".244",
"Arroyo, Christian","624414","2023","47","45","7",".241",".369",".295","1","8","1","19",".231",
"Biggio, Cavan","624415","2023","68","88","40",".235",".370",".304","5","0","7","22",".228",
"Conforto, Michael","624424","2023","97","106","53",".239",".384",".284","4","12","7","28",".244",
"Frazier, Adam","624428","2023","99","68","32",".240",".396",".258","11","4","4","22",".260",
"Trevino, Jose","624431","2023","33","22","8",".210",".312",".221","0","6","2","10",".245",
"McGuire, Reese","624512","2023","50","53","11",".267",".358",".366","2","2","1","17",".202",
"Soler, Jorge","624585","2023","126","141","66",".250",".512",".272","1","20","6","25",".262",
"Sosa, Edmundo","624641","2023","70","74","8",".251",".427",".306","4","10","9","20",".244",
"Ibanez, Andy","628451","2023","94","69","24",".264",".433",".300","1","7","1","38",".269",
"Cronenworth, Jake","630105","2023","105","97","46",".229",".378",".267","6","8","11","28",".236",
"Azocar, Jose","640492","2023","21","24","4",".231",".363",".292","8","2","2","5",".261",
"Anderson, Tim","641313","2023","121","122","26",".245",".296",".323","13","15","3","58",".250",
"Bauers, Jake","641343","2023","49","95","27",".202",".413",".268","3","3","0","8",".228",
"Bellinger, Cody","641355","2023","153","87","40",".307",".525",".319","20","7","5","47",".270",
"Calhoun, Willie","641432","2023","32","20","14",".239",".403",".245","0","2","0","10",".258",
"Crawford, J.P.","641487","2023","142","125","94",".266",".438",".314","2","7","5","38",".256",
"Davis, Jonathan","641505","2023","22","29","7",".244",".378",".328","1","1","2","6",".250",
"Delay, Jason","641511","2023","42","44","14",".251",".347",".333","0","5","3","12",".214",
"Fraley, Jake","641584","2023","86","71","37",".256",".443",".283","21","5","6","18",".261",
"Garver, Mitch","641598","2023","80","82","44",".270",".500",".313","0","6","3","17",".252",
"Guillorme, Luis","641645","2023","24","28","10",".224",".327",".291","0","4","0","6",".188",
"Hampson, Garrett","641658","2023","61","67","23",".276",".380",".379","5","3","3","24",".242",
"Heim, Jonah","641680","2023","118","96","40",".258",".438",".289","2","10","1","31",".254",
"Mancini III, Trey","641820","2023","55","78","21",".234",".336",".327","0","5","2","15",".212",
"McKinney, Billy","641856","2023","29","39","17",".227",".406",".274","1","1","1","7",".240",
"McMahon, Ryan","641857","2023","133","198","68",".240",".431",".326","5","19","1","35",".242",
"O'Neill, Tyler","641933","2023","55","67","28",".231",".403",".284","5","5","0","21",".249",
"Palacios, Joshua","641943","2023","59","56","12",".239",".413",".269","5","7","2","17",".257",
"Smith, Dominic","642086","2023","134","91","47",".254",".366",".286","1","12","10","46",".256",
"Tellez, Rowdy","642133","2023","67","86","35",".215",".376",".249","0","11","0","12",".232",
"Thaiss, Matt","642136","2023","56","83","36",".214",".340",".272","2","4","6","16",".228",
"Mejia, Francisco","642336","2023","34","38","6",".227",".400",".266","0","2","1","12",".203",
"Siri, Jose","642350","2023","75","130","20",".222",".494",".269","12","5","2","23",".214",
"Rosario, Amed","642708","2023","134","99","29",".263",".378",".314","15","15","3","53",".269",
"Adames, Willy","642715","2023","120","165","71",".217",".407",".259","5","12","6","29",".242",
"Estrada, Thairo","642731","2023","134","120","22",".271",".416",".331","23","10","11","50",".247",
"Wynns, Austin","642851","2023","27","39","9",".208",".277",".286","1","4","2","9",".181",
"Benintendi, Andrew","643217","2023","147","89","52",".262",".356",".301","13","12","3","40",".267",
"Cooper, Garrett","643265","2023","106","132","31",".251",".419",".324","0","15","2","28",".250",
"Dubon, Mauricio","643289","2023","130","70","19",".278",".411",".308","7","10","3","39",".274",
"Jansen, Danny","643376","2023","61","62","23",".228",".474",".233","0","3","10","15",".219",
"Kemp, Tony","643393","2023","75","40","44",".209",".304",".221","15","9","6","26",".238",
"Kiner-Falefa, Isiah","643396","2023","79","70","28",".242",".340",".289","14","12","3","33",".250",
"McNeil, Jeff","643446","2023","158","65","39",".270",".378",".288","10","5","18","58",".246",
"Tauchman, Mike","643565","2023","85","86","56",".252",".377",".313","7","3","4","25",".265",
"Chang, Yu","644374","2023","17","34","3",".162",".352",".169","4","2","2","4",".209",
"Albies, Ozzie","645277","2023","167","107","46",".280",".513",".289","13","9","8","39",".266",
"Robles, Victor","645302","2023","32","18","11",".299",".364",".360","8","3","4","16",".265",
"Herrera, Jose","645444","2023","21","30","13",".208",".257",".292","1","2","0","5",".206",
"Ford, Mike","645801","2023","50","81","24",".228",".475",".276","0","4","7","10",".199",
"Devers, Rafael","646240","2023","157","126","62",".271",".500",".292","5","15","11","42",".280",
"Naylor, Josh","647304","2023","139","68","33",".308",".489",".326","10","11","3","44",".290",
"Diaz, Aledmys","649557","2023","72","66","17",".229",".337",".273","1","14","7","29",".234",
"Urias, Luis","649966","2023","28","41","21",".194",".299",".250","0","4","10","12",".181",
"Arraez, Luis","650333","2023","203","34","35",".354",".469",".362","3","18","4","59",".325",
"Jimenez, Eloy","650391","2023","124","93","30",".272",".441",".305","0","13","1","50",".255",
"Torres, Gleyber","650402","2023","163","98","67",".273",".453",".288","13","19","3","51",".280",
"Castro, Willi","650489","2023","92","99","34",".257",".411",".328","33","5","12","34",".235",
"Diaz, Yandy","650490","2023","173","94","65",".330",".522",".367","0","16","8","75",".301",
"De La Cruz, Bryan","650559","2023","149","142","40",".257",".411",".307","4","18","1","38",".270",
"Rengifo, Luis","650859","2023","104","82","41",".264",".444",".293","6","3","6","41",".244",
"Pinto, Rene","650907","2023","26","34","2",".252",".456",".317","0","2","0","5",".253",
"Monasterio, Andruw","655316","2023","73","66","28",".259",".348",".326","7","9","3","20",".249",
"Adams, Riley","656180","2023","39","45","11",".273",".476",".368","0","5","2","11",".222",
"Chapman, Matt","656305","2023","122","165","62",".240",".424",".319","4","4","8","44",".229",
"Fairchild, Stuart","656413","2023","50","69","25",".228",".388",".306","10","2","6","12",".232",
"Garrett, Stone","656448","2023","63","82","26",".269",".457",".365","3","6","3","18",".258",
"Joe, Connor","656582","2023","102","110","50",".247",".421",".311","3","4","8","29",".246",
"McKinstry, Zach","656716","2023","107","113","44",".231",".351",".284","16","3","5","29",".245",
"Mullins II, Cedric","656775","2023","94","101","43",".233",".416",".271","19","6","1","29",".223",
"O'Hearn, Ryan","656811","2023","100","82","15",".289",".480",".340","5","2","3","34",".263",
"Rivera, Emmanuel","656896","2023","67","56","22",".261",".358",".313","1","9","0","25",".259",
"Schwarber, Kyle","656941","2023","115","215","126",".197",".474",".209","0","4","6","21",".219",
"Smith, Pavin","656976","2023","36","45","35",".188",".325",".209","1","3","1","15",".223",
"Thomas, Lane","657041","2023","168","176","36",".268",".468",".325","20","5","11","53",".254",
"Verdugo, Alex","657077","2023","144","93","45",".264",".421",".294","5","11","6","39",".275",
"Wong, Connor","657136","2023","87","134","22",".235",".385",".341","8","4","6","33",".208",
"DeJong, Paul","657557","2023","77","121","21",".207",".355",".264","4","10","5","21",".218",
"Laureano, Ramon","657656","2023","81","114","33",".224",".371",".301","12","9","9","32",".230",
"Sheets, Gavin","657757","2023","63","66","28",".203",".331",".222","1","6","1","19",".208",
"Olivares, Edward","658668","2023","93","64","22",".263",".452",".289","11","7","7","27",".272",
"Moncada, Yoan","660162","2023","87","107","20",".260",".425",".350","1","6","2","20",".259",
"Ohtani, Shohei","660271","2023","151","143","91",".304",".654",".342","20","9","3","49",".294",
"Acuna Jr., Ronald","660670","2023","217","84","80",".337",".596",".338","73","15","9","81",".356",
"Ruiz, Keibert","660688","2023","136","58","31",".260",".409",".263","1","13","6","39",".272",
"Montero, Elehuris","660707","2023","69","111","15",".243",".426",".352","0","5","5","26",".199",
"Gonzalez, Oscar","660757","2023","37","46","5",".214",".312",".278","0","2","1","18",".237",
"Sanchez, Jesus","660821","2023","91","107","38",".253",".450",".321","3","12","2","25",".268",
"Contreras, William","661388","2023","156","126","63",".289",".457",".348","6","23","5","68",".253",
"Varsho, Daulton","662139","2023","116","135","45",".220",".389",".256","16","5","4","39",".232",
"Perkins, Blake","663368","2023","31","46","23",".217",".350",".290","5","3","0","11",".194",
"Nootbaar, Lars","663457","2023","111","99","72",".261",".418",".307","11","7","1","46",".263",
"Nevin, Tyler","663527","2023","19","25","12",".200",".316",".246","0","1","3","8",".214",
"Hoerner, Nico","663538","2023","175","83","49",".283",".383",".312","43","12","14","69",".272",
"Riley, Austin","663586","2023","179","172","59",".281",".516",".324","3","18","9","60",".271",
"Madrigal, Nick","663611","2023","71","24","10",".263",".352",".283","10","3","9","30",".273",
"Larnach, Trevor","663616","2023","39","72","27",".213",".415",".295","1","2","0","12",".212",
"Mountcastle, Ryan","663624","2023","114","107","37",".270",".452",".315","3","13","3","44",".272",
"McKenna, Ryan","663630","2023","31","40","9",".254",".361",".354","5","4","3","15",".221",
"Hayes, Ke'Bryan","663647","2023","134","104","28",".271",".453",".315","10","11","0","50",".269",
"Tucker, Kyle","663656","2023","163","92","80",".284",".517",".289","30","11","3","49",".288",
"India, Jonathan","663697","2023","111","109","52",".244",".407",".281","14","13","16","34",".250",
"Raleigh, Cal","663728","2023","119","158","54",".232",".456",".273","0","6","1","28",".233",
"Fortes, Nick","663743","2023","60","59","17",".204",".299",".234","4","12","7","25",".215",
"Grisham, Trent","663757","2023","93","154","75",".198",".352",".264","15","7","5","22",".219",
"Vierling, Matt","663837","2023","125","112","44",".261",".388",".321","6","8","5","53",".266",
"Rivas III, Alfonso","663845","2023","25","36","9",".229",".422",".310","1","1","3","6",".216",
"Stephenson, Tyler","663886","2023","113","135","47",".243",".378",".314","0","16","4","36",".242",
"Rodgers, Brendan","663898","2023","46","41","11",".258",".388",".316","0","6","3","18",".252",
"Lowe, Nathaniel","663993","2023","163","165","93",".262",".414",".329","1","22","5","52",".260",
"Happ, Ian","664023","2023","144","153","99",".248",".431",".299","14","12","6","49",".251",
"France, Ty","664034","2023","147","117","43",".250",".366",".294","1","25","34","45",".266",
"Lowe, Brandon","664040","2023","87","119","50",".231",".443",".275","7","8","6","30",".232",
"Bader, Harrison","664056","2023","74","59","17",".232",".348",".261","20","7","3","25",".241",
"Haggerty, Sam","664059","2023","23","17","15",".253",".341",".301","10","0","1","9",".264",
"Moore, Dylan","664238","2023","30","56","16",".207",".428",".280","7","1","4","6",".202",
"Straw, Myles","664702","2023","110","97","42",".238",".297",".295","20","10","2","52",".241",
"Isbel, Kyle","664728","2023","70","59","17",".240",".380",".283","7","5","1","29",".244",
"Bohm, Alec","664761","2023","153","94","42",".274",".437",".296","4","23","5","47",".287",
"Wade Jr., LaMonte","664774","2023","110","95","76",".256",".417",".290","2","4","6","34",".262",
"Zavala, Seby","664874","2023","30","70","12",".171",".314",".230","1","4","2","3",".190",
"Brown, Seth","664913","2023","76","101","30",".222",".405",".270","3","6","2","20",".236",
"McCarthy, Jake","664983","2023","67","62","26",".243",".326",".305","26","4","5","30",".244",
"Clemens, Kody","665019","2023","32","40","8",".230",".367",".295","0","1","1","10",".222",
"Walsh, Jared","665120","2023","13","45","11",".125",".279",".164","0","1","1","2",".147",
"Maton, Nick","665155","2023","43","73","38",".173",".305",".206","1","4","3","7",".192",
"Pena, Jeremy","665161","2023","152","129","43",".263",".381",".323","13","11","9","66",".254",
"Tatis Jr., Fernando","665487","2023","148","141","53",".257",".449",".299","29","17","3","58",".282",
"Guerrero Jr., Vladimir","665489","2023","159","100","67",".264",".444",".277","5","23","9","51",".291",
"Soto, Juan","665742","2023","156","129","132",".275",".519",".296","12","18","2","60",".281",
"Taveras, Leody","665750","2023","136","117","35",".266",".421",".318","14","3","1","50",".270",
"Amaya, Miguel","665804","2023","28","40","12",".214",".359",".264","0","2","11","8",".226",
"Cabrera, Oswaldo","665828","2023","63","72","25",".211",".299",".260","8","6","2","26",".209",
"Valdez, Enmanuel","665839","2023","37","37","8",".266",".453",".323","5","4","1","16",".232",
"Chisholm Jr., Jazz","665862","2023","88","118","26",".250",".457",".318","22","4","2","32",".224",
"Ruiz, Esteury","665923","2023","114","99","20",".254",".345",".315","67","7","16","47",".235",
"Gimenez, Andres","665926","2023","140","112","32",".251",".399",".289","30","10","20","50",".245",
"Aranda, Jonathan","666018","2023","20","31","13",".230",".368",".327","0","1","2","8",".193",
"Fermin, Freddy","666023","2023","61","50","13",".281",".461",".323","0","11","1","23",".274",
"Jones, Nolan","666134","2023","109","126","53",".297",".542",".401","20","1","3","38",".247",
"Kirilloff, Alex","666135","2023","76","80","28",".270",".445",".337","1","2","7","18",".260",
"Lowe, Josh","666139","2023","136","124","31",".292",".500",".357","32","6","1","39",".277",
"Fletcher, Dominic","666150","2023","28","22","7",".301",".441",".377","0","0","0","14",".220",
"Moniak, Mickey","666160","2023","87","113","9",".280",".495",".397","6","4","3","21",".245",
"Sabol, Blake","666165","2023","73","117","24",".235",".394",".330","4","4","6","30",".198",
"Benson, Will","666181","2023","79","103","40",".275",".498",".391","19","3","1","21",".230",
"Bichette, Bo","666182","2023","175","115","27",".306",".475",".355","5","14","2","53",".308",
"Carlson, Dylan","666185","2023","48","49","26",".219",".333",".256","3","4","7","14",".237",
"Naylor, Bo","666310","2023","47","53","30",".237",".470",".267","5","2","1","11",".218",
"Julien, Edouard","666397","2023","89","128","64",".263",".459",".371","3","8","2","22",".234",
"Morel, Christopher","666624","2023","96","133","36",".247",".508",".303","6","7","2","28",".248",
