"last_name, first_name","player_id","year","hit","strikeout","walk","batting_avg","slg_percent","babip","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_hit_ground","xba",""
"Cabrera, Miguel","408234","2023","86","74","31",".257",".353",".317","0","11","2","27",".239",
"Cruz Jr., Nelson","443558","2023","35","46","6",".245",".399",".323","1","2","2","14",".240",
"Peralta, David","444482","2023","102","72","20",".259",".381",".296","4","8","2","39",".272",
"Longoria, Evan","446334","2023","47","73","23",".223",".422",".277","0","8","0","10",".228",
"Blackmon, Charlie","453568","2023","100","55","39",".279",".440",".307","4","6","11","25",".268",
"Maldonado, Martin","455117","2023","69","139","30",".191",".348",".260","0","10","3","15",".185",
"Solano, Donovan","456781","2023","111","100","40",".282",".391",".366","0","8","15","35",".280",
"McCutchen, Andrew","457705","2023","100","100","75",".256",".397",".312","11","8","4","35",".255",
"Turner, Justin","457759","2023","154","110","51",".276",".455",".304","4","10","11","33",".259",
"Votto, Joey","458015","2023","42","62","27",".202",".433",".212","0","2","7","15",".190",
"Andrus, Elvis","462101","2023","94","71","25",".251",".358",".294","12","11","4","46",".230",
"Santana, Carlos","467793","2023","132","104","65",".240",".429",".255","6","11","0","36",".236",
"Belt, Brandon","474832","2023","86","141","61",".254",".490",".370","0","5","2","20",".211",
"Gurriel, Yuli","493329","2023","73","44","26",".245",".359",".272","4","13","1","32",".234",
"Rojas, Miguel","500743","2023","91","48","26",".236",".322",".255","8","12","5","35",".251",
"Escobar, Eduardo","500871","2023","65","78","18",".226",".344",".286","2","7","0","19",".203",
"Pham, Tommy","502054","2023","109","106","47",".256",".446",".300","22","11","2","33",".282",
"Martinez, J.D.","502110","2023","117","149","34",".271",".572",".324","1","11","2","27",".269",
"Goldschmidt, Paul","502671","2023","159","161","87",".268",".447",".327","11","12","3","46",".267",
"Altuve, Jose","514888","2023","112","71","44",".311",".522",".348","14","9","5","47",".248",
"Segura, Jean","516416","2023","66","47","22",".219",".279",".251","6","12","2","39",".237",
"Marte, Starling","516782","2023","78","69","16",".248",".324",".303","24","8","8","31",".263",
"d'Arnaud, Travis","518595","2023","60","67","21",".225",".397",".258","0","6","3","15",".253",
"Donaldson, Josh","518626","2023","25","50","22",".152",".418",".115","0","6","0","7",".204",
"Freeman, Freddie","518692","2023","211","121","72",".331",".567",".370","23","14","16","39",".320",
"Grandal, Yasmani","518735","2023","85","86","36",".234",".339",".284","0","11","4","30",".216",
"Heyward, Jason","518792","2023","90","64","34",".269",".473",".291","2","7","3","26",".247",
"LeMahieu, DJ","518934","2023","121","125","60",".243",".390",".295","2","14","3","44",".252",
"Moustakas, Mike","519058","2023","87","95","23",".247",".392",".296","0","7","3","28",".213",
"Rizzo, Anthony","519203","2023","91","97","35",".244",".378",".298","0","10","12","19",".244",
"Stanton, Giancarlo","519317","2023","71","124","41",".191",".420",".210","0","11","2","18",".219",
"Perez, Salvador","521692","2023","137","135","19",".255",".422",".294","0","11","13","34",".264",
"Flores, Wilmer","527038","2023","115","63","41",".284",".509",".286","0","13","5","26",".256",
"Garcia, Avisail","541645","2023","20","39","6",".185",".315",".258","2","1","2","10",".227",
"Bethancourt, Christian","542194","2023","71","91","13",".225",".381",".278","1","6","0","26",".214",
"Perez, Carlos","542208","2023","38","40","13",".226",".357",".256","0","4","4","9",".254",
"Ozuna, Marcell","542303","2023","145","134","57",".274",".558",".293","0","9","3","34",".284",
"Ortega, Rafael","542364","2023","25","33","20",".219",".272",".300","6","0","1","9",".211",
"Aguilar, Jesus","542583","2023","23","31","8",".221",".385",".261","0","3","1","6",".184",
"Berti, Jon","542932","2023","114","77","29",".294",".405",".349","16","10","2","48",".280",
"Crawford, Brandon","543063","2023","55","81","28",".194",".314",".241","3","5","4","16",".217",
